"","x"
"880","ATL2"
"881","ATL3"
"882","ATM"
"883","ATMIN"
"884","ATN1"
"885","ATOH8"
"886","ATOX1"
"887","ATP10A"
"888","ATP10B"
"889","ATP10D"
"890","ATP11A"
"891","ATP11B"
"892","ATP11C"
"893","ATP13A1"
"894","ATP13A2"
"895","ATP13A3"
"896","ATP1A1"
"897","ATP1A3"
"898","ATP1A4"
"899","ATP1B1"
"900","ATP1B3"
"901","ATP23"
"902","ATP2A1"
"903","ATP2A2"
"904","ATP2A3"
"905","ATP2B1"
"906","ATP2B4"
"907","ATP2C1"
"908","ATP2C2"
"909","ATP5F1A"
"910","ATP5F1B"
"911","ATP5F1C"
"912","ATP5F1D"
"913","ATP5F1E"
"914","ATP5IF1"
"915","ATP5MC1"
"916","ATP5MC2"
"917","ATP5MC3"
"918","ATP5MD"
"919","ATP5ME"
"920","ATP5MF"
"921","ATP5MF-PTCD1"
"922","ATP5MG"
"923","ATP5MGL"
"924","ATP5MPL"
"925","ATP5PB"
"926","ATP5PD"
"927","ATP5PF"
"928","ATP5PO"
"929","ATP6AP1"
"930","ATP6AP1L"
"931","ATP6AP2"
"932","ATP6V0A1"
"933","ATP6V0A2"
"934","ATP6V0A4"
"935","ATP6V0B"
"936","ATP6V0C"
"937","ATP6V0D1"
"938","ATP6V0D2"
"939","ATP6V0E1"
"940","ATP6V0E2"
"941","ATP6V1A"
"942","ATP6V1B1"
"943","ATP6V1B2"
"944","ATP6V1C1"
"945","ATP6V1C2"
"946","ATP6V1D"
"947","ATP6V1E1"
"948","ATP6V1E2"
"949","ATP6V1F"
"950","ATP6V1G1"
"951","ATP6V1G2"
"952","ATP6V1H"
"953","ATP7A"
"954","ATP7B"
"955","ATP8A1"
"956","ATP8B1"
"957","ATP8B2"
"958","ATP8B3"
"959","ATP8B4"
"960","ATP9A"
"961","ATP9B"
"962","ATPAF1"
"963","ATPAF2"
"964","ATPSCKMT"
"965","ATR"
"966","ATRAID"
"967","ATRIP"
"968","ATRN"
"969","ATRNL1"
"970","ATRX"
"971","ATXN1"
"972","ATXN10"
"973","ATXN1L"
"974","ATXN2"
"975","ATXN2L"
"976","ATXN3"
"977","ATXN7L1"
"978","ATXN7L2"
"979","ATXN7L3"
"980","ATXN7L3B"
"981","AUH"
"982","AUNIP"
"983","AUP1"
"984","AURKA"
"985","AURKAIP1"
"986","AURKB"
"987","AURKC"
"988","AUTS2"
"989","AVEN"
"990","AVIL"
"991","AVL9"
"992","AVPI1"
"993","AVPR2"
"994","AXIN1"
"995","AXIN2"
"996","AXL"
"997","AZGP1"
"998","AZI2"
"999","AZIN1"
"1000","AZIN2"
"1001","B2M"
"1002","B3GALNT2"
"1003","B3GALT1"
"1004","B3GALT2"
"1005","B3GALT4"
"1006","B3GALT5"
"1007","B3GALT6"
"1008","B3GAT3"
"1009","B3GLCT"
"1010","B3GNT2"
"1011","B3GNT3"
"1012","B3GNT4"
"1013","B3GNT5"
"1014","B3GNT9"
"1015","B3GNTL1"
"1016","B4GALNT1"
"1017","B4GALNT2"
"1018","B4GALNT3"
"1019","B4GALNT4"
"1020","B4GALT1"
"1021","B4GALT2"
"1022","B4GALT3"
"1023","B4GALT4"
"1024","B4GALT5"
"1025","B4GALT6"
"1026","B4GALT7"
"1027","B4GAT1"
"1028","B9D1"
"1029","B9D2"
"1030","BAALC"
"1031","BABAM1"
"1032","BABAM2"
"1033","BACE1"
"1034","BACE2"
"1035","BACH1"
"1036","BACH2"
"1037","BAD"
"1038","BAG1"
"1039","BAG2"
"1040","BAG3"
"1041","BAG4"
"1042","BAG5"
"1043","BAG6"
"1044","BAHCC1"
"1045","BAHD1"
"1046","BAIAP2"
"1047","BAIAP2L1"
"1048","BAIAP2L2"
"1049","BAIAP3"
"1050","BAK1"
"1051","BAMBI"
"1052","BANF1"
"1053","BANP"
"1054","BAP1"
"1055","BARD1"
"1056","BASP1"
"1057","BATF2"
"1058","BATF3"
"1059","BAX"
"1060","BAZ1A"
"1061","BAZ1B"
"1062","BAZ2A"
"1063","BAZ2B"
"1064","BBC3"
"1065","BBIP1"
"1066","BBOF1"
"1067","BBS1"
"1068","BBS10"
"1069","BBS12"
"1070","BBS2"
"1071","BBS4"
"1072","BBS5"
"1073","BBS7"
"1074","BBS9"
"1075","BBX"
"1076","BCAM"
"1077","BCAN"
"1078","BCAP29"
"1079","BCAP31"
"1080","BCAR1"
"1081","BCAR3"
"1082","BCAS2"
"1083","BCAS3"
"1084","BCAS4"
"1085","BCAT1"
"1086","BCAT2"
"1087","BCCIP"
"1088","BCDIN3D"
"1089","BCHE"
"1090","BCKDHA"
"1091","BCKDHB"
"1092","BCKDK"
"1093","BCL10"
"1094","BCL2"
"1095","BCL2A1"
"1096","BCL2L1"
"1097","BCL2L11"
"1098","BCL2L12"
"1099","BCL2L13"
"1100","BCL2L14"
"1101","BCL2L15"
"1102","BCL2L2"
"1103","BCL2L2-PABPN1"
"1104","BCL3"
"1105","BCL6"
"1106","BCL7A"
"1107","BCL7B"
"1108","BCL7C"
"1109","BCL9"
"1110","BCL9L"
"1111","BCLAF1"
"1112","BCLAF3"
"1113","BCO2"
"1114","BCOR"
"1115","BCORL1"
"1116","BCR"
"1117","BCS1L"
"1118","BDH1"
"1119","BDH2"
"1120","BDKRB1"
"1121","BDNF"
"1122","BDP1"
"1123","BECN1"
"1124","BEND3"
"1125","BEND5"
"1126","BEND6"
"1127","BEND7"
"1128","BEST1"
"1129","BEST2"
"1130","BEST3"
"1131","BET1"
"1132","BET1L"
"1133","BEX1"
"1134","BEX2"
"1135","BEX3"
"1136","BEX4"
"1137","BFAR"
"1138","BFSP1"
"1139","BGLAP"
"1140","BGN"
"1141","BHLHE40"
"1142","BHLHE41"
"1143","BHMT"
"1144","BICC1"
"1145","BICD1"
"1146","BICD2"
"1147","BICDL1"
"1148","BICRA"
"1149","BICRAL"
"1150","BID"
"1151","BIK"
"1152","BIN1"
"1153","BIN3"
"1154","BIRC3"
"1155","BIRC5"
"1156","BIRC6"
"1157","BIRC7"
"1158","BIVM"
"1159","BLCAP"
"1160","BLM"
"1161","BLMH"
"1162","BLOC1S1"
"1163","BLOC1S2"
"1164","BLOC1S3"
"1165","BLOC1S4"
"1166","BLOC1S5"
"1167","BLOC1S6"
"1168","BLVRA"
"1169","BLVRB"
"1170","BLZF1"
"1171","BMERB1"
"1172","BMF"
"1173","BMI1"
"1174","BMP1"
"1175","BMP2K"
"1176","BMP4"
"1177","BMP8A"
"1178","BMP8B"
"1179","BMPER"
"1180","BMPR1A"
"1181","BMPR1B"
"1182","BMPR2"
"1183","BMS1"
"1184","BMT2"
"1185","BNC2"
"1186","BNIP1"
"1187","BNIP2"
"1188","BNIP3"
"1189","BNIP3L"
"1190","BNIPL"
"1191","BOC"
"1192","BOD1"
"1193","BOD1L1"
"1194","BOK"
"1195","BOLA1"
"1196","BOLA3"
"1197","BOP1"
"1198","BORA"
"1199","BORCS5"
"1200","BORCS6"
"1201","BORCS7"
"1202","BORCS8"
"1203","BORCS8-MEF2B"
"1204","BPGM"
"1205","BPHL"
"1206","BPNT1"
"1207","BPTF"
"1208","BRAF"
"1209","BRAP"
"1210","BRAT1"
"1211","BRCA1"
"1212","BRCA2"
"1213","BRCC3"
"1214","BRD1"
"1215","BRD2"
"1216","BRD3"
"1217","BRD3OS"
"1218","BRD4"
"1219","BRD7"
"1220","BRD8"
"1221","BRD9"
"1222","BRDT"
"1223","BRF1"
"1224","BRF2"
"1225","BRI3"
"1226","BRI3BP"
"1227","BRICD5"
"1228","BRIP1"
"1229","BRIX1"
"1230","BRK1"
"1231","BRMS1"
"1232","BRMS1L"
"1233","BROX"
"1234","BRPF1"
"1235","BRPF3"
"1236","BRSK1"
"1237","BRSK2"
"1238","BRWD1"
"1239","BRWD3"
"1240","BSCL2"
"1241","BSDC1"
"1242","BSG"
"1243","BST1"
"1244","BST2"
"1245","BTAF1"
"1246","BTBD1"
"1247","BTBD10"
"1248","BTBD19"
"1249","BTBD2"
"1250","BTBD3"
"1251","BTBD6"
"1252","BTBD7"
"1253","BTBD9"
"1254","BTC"
"1255","BTD"
"1256","BTF3"
"1257","BTF3L4"
"1258","BTG1"
"1259","BTG2"
"1260","BTG3"
"1261","BTN2A1"
"1262","BTN2A2"
"1263","BTN3A1"
"1264","BTN3A2"
"1265","BTN3A3"
"1266","BTNL9"
"1267","BTRC"
"1268","BUB1"
"1269","BUB1B"
"1270","BUB3"
"1271","BUD13"
"1272","BUD23"
"1273","BUD31"
"1274","BVES"
"1275","BYSL"
"1276","BZW1"
"1277","BZW2"
"1278","C10orf143"
"1279","C10orf67"
